Vardas                   Pavarde                    ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9      ND10      ND11      ND12      ND13      ND14      ND15      Egz.
Vardas578             Pavarde578                      8         7        10         7         8         4         6         4         8        10         6         4         7         6         5         5
Vardas579             Pavarde579                      6         4         9         8         2         6         5         2         8         6         9         6         5         5         7         8
Vardas580             Pavarde580                      2         6         1         8         7         3         4         3         1        10         4         3         8         3         3         3
Vardas581             Pavarde581                     10         2         9         5         9         4         3         5         3         8         4         3         2         1         9         5
Vardas582             Pavarde582                      5         5         7         2         5         2         3         1         5         5         6        10        10         2         7         2
Vardas583             Pavarde583                     10         6         3         2         3         8         1         5         6         5         1         6         8         8         9         2
Vardas584             Pavarde584                      6         8         6         6         7         8         4         7         7         6         5         6        10         3         5         8
Vardas585             Pavarde585                      8        10         4         8        10         9        10         6         5         1         2         7         7         3         5         4
Vardas586             Pavarde586                      8        10         3        10         8         4         8         1         2         3         7         9         4         6         2         4
Vardas587             Pavarde587                     10         1         8         2        10         6         1         6         5        10        10        10        10         2         8         9
Vardas588             Pavarde588                      5         5         1         4         2         1         5         3         2         9         5         4         3         4         6         2
Vardas589             Pavarde589                     10         1         7         8         1         8         7         6         3         3         1         2         6         6         6        10
Vardas590             Pavarde590                      7         2         8         9        10         9         1         3        10         3         3         1         1         3         7         7
Vardas591             Pavarde591                      9         3         5         5         2         1         5         6         7         2         1         2         4         9         2         7
Vardas592             Pavarde592                      3         1         8         4         5         1         4         1         2         9         3         2        10         8         5         3
Vardas593             Pavarde593                      6         3         2         8         3         6         2        10         1         4         9         3         1         4         8         6
Vardas594             Pavarde594                      7         9         5         5         2        10         8         7         2         6         2         9         4         5         2         2
Vardas595             Pavarde595                      3         7         7        10         2         1         5         9         8         2         2         9         8         2        10         2
Vardas596             Pavarde596                      7         9        10         7         5         4         3         9         4         2         2         3         2        10         9         5
Vardas597             Pavarde597                      9         9         6         1        10         7         2         9         8         8         4         7         6         6         8         4
Vardas598             Pavarde598                      7         6         2         2         3         1         7         7         5         7         2         8         8         3         6         4
Vardas599             Pavarde599                      7         3         1         8         4         6         9         2         4         7        10         1         2         5         7         1
Vardas600             Pavarde600                      3         6         6         6         2         4         4         6         5         7         3         6         9         1         5         5
Vardas601             Pavarde601                      2         9         7         7         4         9        10         2        10         8         8         7         8         8         3         4
Vardas602             Pavarde602                      8         9         9         3        10         1         3         4         7         6         9         5         4         2         9         3
Vardas603             Pavarde603                      1         1         2         3        10         3         7         2        10         8         4        10         9         5         2         7
Vardas604             Pavarde604                     10         8         5         5         4         7         3         8         8         2        10         3         4         2         6         6
Vardas605             Pavarde605                      4         8         1         1         7         2         3         5         4         3         6         2         3         9         7         4
Vardas606             Pavarde606                      9         4         4         7         1         6         1         8         3         8         3         2         6         7         2         9
Vardas607             Pavarde607                      6        10         4         4         9         4        10        10         2         8         4         4         1         7         9         8
Vardas608             Pavarde608                      5         5         4         8         6         6         1         6         2         4         1         8         8         7         2         6
Vardas609             Pavarde609                      7         4         4         3         6         7        10         3        10         1        10         4         1         9         1         4
Vardas610             Pavarde610                      2         8         2         4         4         4         4         6        10         6         4         1         9         8         6         5
Vardas611             Pavarde611                      8         3         7         3         7         6         3         3         4         5         9         5         8         5         7         9
Vardas612             Pavarde612                      4         3         8         4         4         4         1         8         1         1         4         9        10         7         8         3
Vardas613             Pavarde613                      6         4         8        10        10         1        10         2         9         8         9         1        10         5         6         9
Vardas614             Pavarde614                      5         2         3         2         8         5         7         3         4         6         7         6         7         7         4         4
Vardas615             Pavarde615                      5         8         3        10         4        10         5         2         9         5         8         9         2         9         3         3
Vardas616             Pavarde616                      2         5         9         4         5         9         9         1         9         6         1         3         3         2         5         6
Vardas617             Pavarde617                     10         4        10         4         5         7         5         9         3         3         1         2        10         3         5         9
Vardas618             Pavarde618                      1         6         2         8         4         6         4         5         6         7         8         8         4        10         9         3
Vardas619             Pavarde619                      4         4         2         1         5         5         3         4         8         3         2         2         1         1         7         4
Vardas620             Pavarde620                      5        10         3         4        10         4         5         8        10         1         2         1         1         3         6         6
Vardas621             Pavarde621                      7         6         7         7         5         5         1        10         2         3         8         5         7         3         2         2
Vardas622             Pavarde622                      9         8         6         4         1         1         5         5         9         8         4         7         5         9         3         8
Vardas623             Pavarde623                      8         8         8         2         7         6         9         7        10         1         5         4         4         1         7         8
Vardas624             Pavarde624                      3        10         6         6         9         8         7         5         3         7         9        10         5         9         5         9
Vardas625             Pavarde625                      7        10         8         7         6         1         5         3         5         5         5         3         2         3         7         2
Vardas626             Pavarde626                      1         8        10        10         5        10         5         5         9         5         2         8         5         2         6        10
Vardas627             Pavarde627                      5         4         8         8         5         3         6         4         2         8         8         8         4         1         8         4
Vardas628             Pavarde628                      9         6         2         4         3         8        10         1         8         5         7         2         6        10         4         5
Vardas629             Pavarde629                      5         4         2        10         2         8         1         1         6         9         4         7         3        10         8         5
Vardas630             Pavarde630                      6        10         4         4         9         4         9         4         6         9        10        10         6         4         6        10
Vardas631             Pavarde631                      7         6         6         7         3         6         3         4         2         5         5        10         1         9        10         1
Vardas632             Pavarde632                     10         1         3         4         7         9         2         9         5         8         2         4         9         6         6         3
Vardas633             Pavarde633                      3         7         9        10         8         8         9         5         5         4         2         7         4         7         1         2
Vardas634             Pavarde634                      5         6         2         1         6         6         2         2        10         1         3         7         9         5         4         7
Vardas635             Pavarde635                      1         1        10         8         6         8         5         2         2         3         2         9         2         2         2         8
Vardas636             Pavarde636                     10         1         1         1         2         8         1         3         4         4         4         2         8         6         4         9
Vardas637             Pavarde637                      5         9         8         1         1         8         9        10         2         2         9         4         8         8         9         1
Vardas638             Pavarde638                      4         2         2         6         2         3         5         7         2         9         5         3         9         3        10         9
Vardas639             Pavarde639                      7        10         5         1         7        10         4         3         9         6         4         2         5         2         5         8
Vardas640             Pavarde640                      6         5         2         1        10         9         3        10         5         2         2         2         9         8         4         5
Vardas641             Pavarde641                      6         4        10         1         5         6         6         7         8         9        10         6         8         2         7         2
Vardas642             Pavarde642                      1         5         9         3         8         8         2         6         3        10         2         9         8         4         6         4
Vardas643             Pavarde643                      2         3         2         7         7         3         9        10         5         9         3         1         1         2         6         4
Vardas644             Pavarde644                     10         5         8         3         5         2         2         5         2         3         4         3         9         4         9         2
Vardas645             Pavarde645                      8         1         6        10         8         8         6         3         8         9         9         3         4         5         7        10
Vardas646             Pavarde646                      3         2         8         5         9         7         5         7         1         3         4         4         6         4        10         8
Vardas647             Pavarde647                      7         5         9        10         7         1        10         1         6         3         9         6         4         3         6         7
Vardas648             Pavarde648                      4         8         9         3         7         9         2         1         6         9         2         7         7         9         8         2
Vardas649             Pavarde649                     10         1         5         2         5         5         8         6         9         6         8         6         8         3         7         5
Vardas650             Pavarde650                      3        10         2         8         4         3         9         1         5         8         4         6         6         6         5         9
Vardas651             Pavarde651                      7         5         6         5        10         5         1         1        10         8         9        10         1         8         9         9
Vardas652             Pavarde652                      3         6         3         9         3         2         5         7        10         7         8         4        10         3         4         7
Vardas653             Pavarde653                      8         1         6         4         6         7         7         6         6         3         3         8         2         4         1         8
Vardas654             Pavarde654                      4         5         7        10         1         6         5         7         2         8         1         6         6         2         3         1
Vardas655             Pavarde655                     10         6         5         7         4         1         6         4         4         2         4         5         5         4         8         6
Vardas656             Pavarde656                      3         4        10        10         9         7        10         5        10         6         3        10         8         5         1        10
Vardas657             Pavarde657                      1         2         8         7         5         1         9         6        10         6         6         2        10        10         5         3
Vardas658             Pavarde658                      7         5         2         7         8        10        10         8         7        10         5         6         9         4         6         4
Vardas659             Pavarde659                      3         4         3        10         9         1         1         9         6         9         2         1         3         6         6         2
Vardas660             Pavarde660                      1         9         7         6         1         4         4         3         5         9         1         1         6        10         5         7
Vardas661             Pavarde661                      4         2         6         3         2         2         2         5         7         6         6         4         6         2         9         3
Vardas662             Pavarde662                      3         3         6         6         6         1         7         8         3         5         1         2         1         9         8        10
Vardas663             Pavarde663                      8         7         8         8         3         9         9         2        10         5         5         8         6         4         3         7
Vardas664             Pavarde664                      8         9         6         7         7         1         1         5         9         1         3         4         6         9         1         1
Vardas665             Pavarde665                      8        10         7         7         3         5         6         3        10         1         6         4         8         3         6         5
Vardas666             Pavarde666                      8         1         3         4         2         7         8         9         6         3         4         2         3         2         1        10
Vardas667             Pavarde667                      8         1         3         4         5         1         1         7         2         6        10        10         9         6         7         7
Vardas668             Pavarde668                      5         2         6         1         7         6         9         1         8         5         8         6         2         3         9        10
Vardas669             Pavarde669                      4         6         3        10         2         5         7        10         2         5         4         7        10         1         9         4
Vardas670             Pavarde670                      8         2        10        10         3         8         2         3         8         8         5         2         5         7         2         9
Vardas671             Pavarde671                      2        10         3         6         9         5         7        10        10         6         8         2        10         9         2         2
Vardas672             Pavarde672                      7         8         6         8         1         3         7         2         2         2        10         6         5         8         1         1
Vardas673             Pavarde673                      6         3         5         9         6         8         8         1         2         8         4         3        10         6         3         2
Vardas674             Pavarde674                     10         9         5         4         3         9         3         3         7         1         3         2         3         6         5         6
Vardas675             Pavarde675                      7         9         8         8         6         4         8         6         6         8         7         2         3        10         2         9
Vardas676             Pavarde676                      3         4         2         5        10         4        10         2         2         2         6         9         8         1         1        10
Vardas677             Pavarde677                      9         4         4         7         8         2        10        10         4         9         3         6         1         1        10         1
Vardas678             Pavarde678                      6         8         9         2         1        10         2         9         5         1         4         7         7         4         6         6
Vardas679             Pavarde679                      3         1         9         7         1         9         1         5         2         6         9         8         7         5        10        10
Vardas680             Pavarde680                      7         6         4         4         2         7         4         8         5         8         7        10         8         9         2         4
Vardas681             Pavarde681                      7         5         4         6         4         8         5         9         1         7         5         2         8        10         7         7
Vardas682             Pavarde682                      5         8         1         4         8         2         8         2         1         7         1         2         3         1         2         6
Vardas683             Pavarde683                      4        10         6         9         6         2        10         1        10         3        10         5         3         3         6         6
Vardas684             Pavarde684                      6         5         5         8        10         9         6         1        10        10         7         9         5         8         6         9
Vardas685             Pavarde685                      3         9         8         2         9         3         1         5         6         8         6         1         7         8         9         1
Vardas686             Pavarde686                     10         5         6         8         8         3         8         9        10         6         5         1        10         1         3         7
Vardas687             Pavarde687                      1         9         9         7         2         1         2         5         9         5         7         8         6         9         2         3
Vardas688             Pavarde688                      5         1         4         4         5         2         8         7         1         1         6         7         5         6        10         7
Vardas689             Pavarde689                      2         4         9         8         5         2         2         2        10         6         6         2         9         4        10         1
Vardas690             Pavarde690                      4         4         7         7         3         2         4         6         8         9         4         3        10         2         2        10
Vardas691             Pavarde691                      3         3         8         9         5         5         3         9         7         6         8         1         8         7         4         4
Vardas692             Pavarde692                      6         2         6         9         3         7         5         2         8         3         6        10         7        10         7         3
Vardas693             Pavarde693                      9        10         5         6         3         7         1         6         2         4        10         1         5         2         7         7
Vardas694             Pavarde694                      9         9         7         1         3         5         3         1         4         4         2         3         7         7         3         5
Vardas695             Pavarde695                     10         6         2        10         2         3         5        10         3         6         7         5         7         9         6         4
Vardas696             Pavarde696                     10         1         4         2         8         9         3        10        10         2         7         5         9         9         8         9
Vardas697             Pavarde697                      4         2         1         9         7         3         5         3        10         1         7         4         1         3         5         9
Vardas698             Pavarde698                      5        10         8         5         3         6         9         3         3         7         1         9         9        10         6         2
Vardas699             Pavarde699                      6         3         9         9         8         5         7         2         2         7        10         9         2         9        10         5
Vardas700             Pavarde700                      6         5        10         3         8        10         5         2         7         7         6         9         9         3         2         5
Vardas701             Pavarde701                      9         1        10         1         3        10         1         9         8         5        10         6        10         3         2         3
Vardas702             Pavarde702                     10         1         7        10        10        10         3         8         3         4         8         3         2        10         9         9
Vardas703             Pavarde703                      3         2         5         2         1         1         1         3        10         7         8         1         8         6         4         9
Vardas704             Pavarde704                      3         4        10         3        10        10         8         1         8         1         1         5         8        10         6        10
Vardas705             Pavarde705                      3         5         5         5         9         8         5         4         8         2         1         9         9        10         1         3
Vardas706             Pavarde706                      8         2         7         3         5         2         9         8         7         3         2         2         1         3         7         7
Vardas707             Pavarde707                      1         7         6         2         6         3         6         1         3         1         8         5         7         1         2         1
Vardas708             Pavarde708                      8         6         6         8        10         7         9         9         1        10         4         1         1         3         2         2
Vardas709             Pavarde709                      1         7         5         8         9        10         3        10         7         8         5         1        10         8         4         6
Vardas710             Pavarde710                      5         5         6         9         7         9         3         5         8         8         9         9         1        10         9         3
Vardas711             Pavarde711                      1         6         3        10         9         7         7         3        10         6         9         9         5         6         5         1
Vardas712             Pavarde712                      5         1         2         8         1         3         3        10         7         7         7        10         1         8         5         9
Vardas713             Pavarde713                      4        10         7         3         4         8        10         4         6         9        10         8         9         7         7         1
Vardas714             Pavarde714                      8         7         2         5         6         5         2         8         7         9         3         7         8         6         7         9
Vardas715             Pavarde715                      7         4        10        10         3         8         8         6         2        10         7         8         1         5         2        10
Vardas716             Pavarde716                      1         1         3         2         7         4         7         3         8        10         1         6         2         7         6         3
Vardas717             Pavarde717                      1         1         1         8         5         5         4         9         3        10         7         6         5         5         6         8
Vardas718             Pavarde718                      8        10         2         6         7         5         5         6         6         1         6         9         9         8         9         7
Vardas719             Pavarde719                      7         3         1         8         1         8         6         3         4         4        10         5         1         7         7         4
Vardas720             Pavarde720                      9         8         7         4         5         8         5         4         1         3         8         1         1         1         4         1
Vardas721             Pavarde721                     10         6        10         3         3         2         9         5        10         9         9         3         9         8         5         7
Vardas722             Pavarde722                     10         7         4        10         2        10         8         6         5         9         4         6        10         2         8         1
Vardas723             Pavarde723                      5         5         1         5        10         7         5         4         3         1         3         1         3         4        10         8
Vardas724             Pavarde724                      6         9         5         9         4         8         4         4         3         1         8         6         9         4         2         2
Vardas725             Pavarde725                      5         5         7         9         2         6        10         2        10         3         9         7         9         6         1         3
Vardas726             Pavarde726                      2         1         7         2         2         2        10         1         1         7         7         2         8         2         4         4
Vardas727             Pavarde727                      7         9         9         1         7         5         7         9         9         7        10         5         7         5         6         3
Vardas728             Pavarde728                      7         9        10         2         9         8         8         7         3         9         7         3         7        10         4         2
Vardas729             Pavarde729                      6         2         7         3        10         3        10        10         6         9         2         1         3         5         3         8
Vardas730             Pavarde730                      5         1         6         2         3        10         2         5         8         1         7         7        10         5         8         5
Vardas731             Pavarde731                      5         3         3         1        10         6        10         5         6         1         9         6         4         9        10         1
Vardas732             Pavarde732                      5         4        10         3         9        10         5         8         5         1        10         4         1         9         3         6
Vardas733             Pavarde733                      9        10         8         5         8         1         2         1         5         7         9         4         6         9         5         8
Vardas734             Pavarde734                      9         3         8         8         7         3         4         2         6        10         8         1         4        10         8         9
Vardas735             Pavarde735                      7         5         8         5         8         7        10         2         8         4         5         9         4         3         1         2
Vardas736             Pavarde736                     10         1         8         1         7         9         8         9         7         3         8         1         8         7         7         5
Vardas737             Pavarde737                      4         6         3         7         1         4         6         9         8        10         9         1         7         9         4         9
Vardas738             Pavarde738                      6         9         1         8         5         1         3         1         7         8         8         2         1         2         6         1
Vardas739             Pavarde739                      1         7         9         5         2         5        10         8         4         3         7         2         3         7         5         7
Vardas740             Pavarde740                      1         9         5        10        10         5         7         5         7         4         6         9         1         4         9         4
Vardas741             Pavarde741                      5         7         7         5        10         6         4         6        10         3         3         9         4         4         6        10
Vardas742             Pavarde742                      8         7         8         5         5         8         4         1         3        10         3         8         2         8         4        10
Vardas743             Pavarde743                      7         8         3         6         2         7         9        10         9         5         9        10         9         2         5         6
Vardas744             Pavarde744                      5         2         5         9         6         9         6         4         4         7         3         1         6         3         9         8
Vardas745             Pavarde745                     10         8        10         1         9         8         9         6        10         7         9         4         1         2         3         5
Vardas746             Pavarde746                     10         4         2         2         6         2         3        10         4         1         7         9         9         6         1         4
Vardas747             Pavarde747                      6         8         9         2         1         5         5        10        10         2        10         7         3         5         4         5
Vardas748             Pavarde748                      7         3         5         5         7         2         4         4         6         8         8         3         5         9         2         7
Vardas749             Pavarde749                     10         9         2         2         6         6         3         1         6         3         6         6         4         4         9         4
Vardas750             Pavarde750                      7         3         5        10         3        10        10         3         4         1         8         7         9         2         6         6
Vardas751             Pavarde751                      3         4         3         1         7         2         8         8         7         5         9         2         9         3         6         4
Vardas752             Pavarde752                      5         1         9         6         2        10         9         9         4         8         8         1         7         8         8         4
Vardas753             Pavarde753                      4         6         1         7         4         7         9         9         6         6         2         5        10         6         2         9
Vardas754             Pavarde754                     10         2         3         7         2        10        10         7         1         4         3         5         4         7         8         7
Vardas755             Pavarde755                      1         5         4         7         4         2         3         3         4         1         9         7         9         1         6         8
Vardas756             Pavarde756                      9        10         8         5         7         9         6         3         1         4         5         2         2         3         8         6
Vardas757             Pavarde757                      2         2         7         5         8         5         9         4         6         1         5         5         1         8         2         4
Vardas758             Pavarde758                      3         7         6         2         9         7         9         8         2         5         9         8         2         4         9         4
Vardas759             Pavarde759                      9        10         4         9         7         8         7         2         6         6         7         1         8         7         3         5
Vardas760             Pavarde760                      4         8         7         5         4        10         6         2         5         5         1         3         5         8         4         2
Vardas761             Pavarde761                      4         8         7         5         2         7         5         3         1         1         4         5         4         9         2         1
Vardas762             Pavarde762                      3         6         8         6        10         2         8         6         7         7         7         6        10         8         1         5
Vardas763             Pavarde763                      1         3         2         1         7         8         5         3         8         6         4         4         3         3         7         2
Vardas764             Pavarde764                      3         9         7         3         2         3         1         6         8         1         2         2         1        10         9         3
Vardas765             Pavarde765                      8         8         5         2         5         7         6         8         3         3         9        10         6         1         1         6
Vardas766             Pavarde766                      3         8         2         7         7         4         1         8        10         2         1         7         6         6         2         7
Vardas767             Pavarde767                      8         1         6         6         7         2         5         6         4         3         2         6         7         3         5         1
Vardas768             Pavarde768                      1         1        10         3         5         4         1         7         4         6         2         9         6         9         1         1
Vardas769             Pavarde769                      4         5        10         8        10         8         2         4         6         3         1        10         4         9         6         6
Vardas770             Pavarde770                     10         2         4         7         1         8         4         5         2         7         6         8         4         5         5         1
Vardas771             Pavarde771                      7         3         8         2         7         9         6        10        10         5         3         1         4         2        10         6
Vardas772             Pavarde772                      6         9         5        10         7         6         9        10         2         7         7         4        10         8         7        10
Vardas773             Pavarde773                      5         3         3        10         8         8         9         3         6         1         6         2         3         1         7        10
Vardas774             Pavarde774                     10         6         6         9         8        10         9         5         6        10         1         5         1         2         6         4
Vardas775             Pavarde775                      7         9         7         5         5         4         1         2         9         6         6         1         1         5        10         4
Vardas776             Pavarde776                      5         1         4         9         1         1        10         2         2         4         2         2         7         7         2         8
Vardas777             Pavarde777                      8         2         1         9         4         3         8         7         6         6         1         3         7         1         2         3
Vardas778             Pavarde778                      8        10         6         2         2         8        10        10         1         7        10        10         6         5         7         9
Vardas779             Pavarde779                      3         7         4         6         3         8         1         5         8         7         4         8         2         6         6         5
Vardas780             Pavarde780                      9         7         7         2        10         3         3         6         7         5         3         9         4         1         5         2
Vardas781             Pavarde781                      5         7         2         8         2         4         2         8         2         6         1         6         6         5         1         6
Vardas782             Pavarde782                      6         6         1         9         6         4         1        10         7         2         4         2         6         7         7        10
Vardas783             Pavarde783                      1         3         3         7         1         9         6        10         9         7        10         3        10         4         7        10
Vardas784             Pavarde784                     10         8         3         3         1         6         1         4         4         7         8         5         2         8         6         1
Vardas785             Pavarde785                      5         7         2         3         3         2         4         8         4         4         7         2         6        10         5         7
Vardas786             Pavarde786                      2         4         3         4         1        10         4         5         2         8        10         7         3         2         9         8
Vardas787             Pavarde787                      6         4         9         7         5         9         6         7        10         2         5         5         7         4         5         4
Vardas788             Pavarde788                      2         9         7        10         3         3         7         3         8         7         8         8         5        10         5         9
Vardas789             Pavarde789                      2         4        10         4         6         4         4         7        10         2        10         1         9         8         5         6
Vardas790             Pavarde790                      1        10         1         6         7         3         8         1         6         7         2         6         4         1         6         6
Vardas791             Pavarde791                      7        10         1         3         3         7         3         7         4         9         6         9         4         4         7         1
Vardas792             Pavarde792                      4         5        10        10         1         7         6         5         3        10         7         2         7         5         9         6
Vardas793             Pavarde793                      5         1         3         7         5         1         3         3         4         6         9        10         8         5         2         5
Vardas794             Pavarde794                      7         2         8         2         9         5         9         5        10         5         7         4         2         2         7         2
Vardas795             Pavarde795                      6         3         1         7         2         3         5         3         4         3         9         6         4         4         4         7
Vardas796             Pavarde796                      4         7         7         4         3         1         5         9         9         6         6         1         7         7        10        10
