Pavarde                   Vardas         ND1         ND2         ND3         ND4         ND5         ND6         ND7         ND8         ND9        ND10        ND11        ND12        ND13        ND14        ND15        Egz.
Pavarde2187           Vardas2187           4           3           3           3           1          10           6           8           7           3           3          10           9           6           5           2
Pavarde2188           Vardas2188           2           2           4           4           7           1           8           6           1           2           1           9           8           3           3           2
Pavarde2189           Vardas2189           1           3           9           9           9          10           2           2          10           4           1          10           2           7           1           5
Pavarde2190           Vardas2190           7           6           8           6           4           7           3           7          10           6           8          10           6           9           4           5
Pavarde2191           Vardas2191           9           8           9           3           1          10           6           6           4           6           4           3          10           2           1           6
Pavarde2192           Vardas2192           4           9          10           2           1          10           8           1           2          10          10          10           4           2          10           2
Pavarde2193           Vardas2193           3           4           7           1           1           4           8           5           2           4           8           8           7           4           6           9
Pavarde2194           Vardas2194           6          10           9           9           7           6           7           8           6           3           6           2           2           2          10           6
Pavarde2195           Vardas2195           9           2           2           4           8          10           1           4           7           8           6           6           3           3           4           5
Pavarde2196           Vardas2196           5           2           8           7           3           2           6           2           3           9           6           6           5           3          10           9
Pavarde2197           Vardas2197           9           9          10           3           5           1           1           2           9          10           1           9           2           9           7           5
Pavarde2198           Vardas2198           2           3           5           7           1          10           6           8           6           9           6          10           6           5           3           9
Pavarde2199           Vardas2199           4          10           8           1           2          10           7           9           4           6           8           8           3           9           2           6
Pavarde2200           Vardas2200           7           4           3           8           2           6           9           5           4          10           3           2          10          10           4           8
Pavarde2201           Vardas2201           5           1          10           7           1           8           8           5           4           1           6           1          10           5           1           1
Pavarde2202           Vardas2202           9           7           9          10           9           8           1           7           9           9           1           7           7           6           5           8
Pavarde2203           Vardas2203           9           6           1           1          10           3           5           1           3           6           6           8           2           7           1           9
Pavarde2204           Vardas2204           2           1           1           2           8           5           7          10           4           7           5           4           4           5           2          10
Pavarde2205           Vardas2205           1           3           3          10           3           3          10           8           3           9           9           6           8           8           2           2
Pavarde2206           Vardas2206           9          10           7           7           7          10           8           1           8           1          10           7           3           1           5           7
Pavarde2207           Vardas2207           3           5           4           4           3           6           7           5           2           3           9           1           9           1           2           1
Pavarde2208           Vardas2208           8           4           7          10           7           1           3           3           4           2           9           5           8           1           4          10
Pavarde2209           Vardas2209           3           6          10           2           1           3           8           4           8           2          10           9           3           6           5           8
Pavarde2210           Vardas2210           8           8           9           2           1           6           5          10           5           8           3          10          10           1           3          10
Pavarde2211           Vardas2211           7          10           4           8           9           8           5           6           1           9           9           4           2           4          10           2
Pavarde2212           Vardas2212           2           2           9           8           4           4           6           1           6           5          10           7           9           2           6           1
Pavarde2213           Vardas2213          10           7           5           1           5          10           8           3           3           2           6           3           9           8           8           9
Pavarde2214           Vardas2214           6           7           2           9           5           5           5           1           4          10           7           5           1          10           2           4
Pavarde2215           Vardas2215           7           7           1           1           2           3           4           3           5           7           2           4           1           1           9           1
Pavarde2216           Vardas2216           8           3           1           1           6          10           2           1           3           2           6           5           8           1           5           7
Pavarde2217           Vardas2217          10           1           3           2           7           6          10           2           1          10           5           8          10           5           3           4
Pavarde2218           Vardas2218           2           4           3           1           5           6           2          10           1           1           5           5           1           2           2           1
Pavarde2219           Vardas2219           7           4           9           3           3          10           8           9           9           8           7           4           5           8           4           7
Pavarde2220           Vardas2220           2          10          10           2          10          10           7          10           5           7           9           3           8           5           1           2
Pavarde2221           Vardas2221           7           2           9           8           2           6           7           4           8           8           7           8           7           5           1           9
Pavarde2222           Vardas2222           3           9           8           1           7           4          10          10           5           8           5           1           9          10           8           5
Pavarde2223           Vardas2223           9           8           1           9           9           3           3           1           8          10           3           6           4           4           5          10
Pavarde2224           Vardas2224          10           8           1          10           5           4           2           1           2           8           5           9           4           7          10           9
Pavarde2225           Vardas2225           7           1           3           4           9           5           5           9          10          10          10          10           8           6           2          10
Pavarde2226           Vardas2226          10           5           6           5           8           6          10           6           7           3           5           2           4           1           2          10
Pavarde2227           Vardas2227           1           3           9           4           7          10           1           7           2           9           9           3           3           8           8           4
Pavarde2228           Vardas2228           9           6           8           9           9           9           7           3           9           5           5          10           4           2           3           4
Pavarde2229           Vardas2229           1           1           6           7           3           1           9           5           6           3           7           2           6           1           1           1
Pavarde2230           Vardas2230           5          10           6           1           6           9           6           3           2           9           1           6           5           2          10           2
Pavarde2231           Vardas2231           4           8           4           8           2           8           4           6           6           6           6           2           9           1           5           4
Pavarde2232           Vardas2232           8           5           8           8           4           6          10           4           4           9           4           9           1           1           2           1
Pavarde2233           Vardas2233           2           6           3           2           7           4           7           4           3           5           9           7           8          10           6           6
Pavarde2234           Vardas2234           3           9           3           4           9           9           9           1           8          10           9           4           9           3           7           1
Pavarde2235           Vardas2235           5           5           7           4           2           7           2           5           8           2           8          10           6           6           1           5
Pavarde2236           Vardas2236           6           2           7           4           9           1           9           8          10           4           4          10           1           7           4           2
Pavarde2237           Vardas2237           2           2           3           5          10           2           1           4          10           9           6           6           3           5           3           8
Pavarde2238           Vardas2238           8           8           3           3           9           4          10           4           9           1          10          10           8           5           1           6
Pavarde2239           Vardas2239           1           9           3           6           3           4           8           8          10           2           3           8           8           4           6          10
Pavarde2240           Vardas2240           5           2          10           2           1           6           3           2           4           5          10           7           4           4           4           3
Pavarde2241           Vardas2241           6           1           2          10           4          10          10          10           5           5           4           2           2           9           9           4
Pavarde2242           Vardas2242           7           8           5           4           5           1           3           5           4          10           7           7           8           2           5           2
Pavarde2243           Vardas2243           9           5           7           6           6           5           3           4           9           9           6           4           1           5           4           8
Pavarde2244           Vardas2244           9           6           1           3          10           5           8           4           2           4           8           4           9           5           5           7
Pavarde2245           Vardas2245           1           3           4           9          10           8           3           6           7           8           8           7           5           7           5           4
Pavarde2246           Vardas2246           6           2           3           5           9           5           9           9           2           7           1           6           4           3           8          10
Pavarde2247           Vardas2247           5           5           4           7           7           6           1           8           3           8          10           9           4           9           6           3
Pavarde2248           Vardas2248           6           8           9           7          10          10           2           1           1          10           2           6           8           1           8           4
Pavarde2249           Vardas2249           4           9           5           4           1           8          10           6           3           6           5           8           6           1           9           4
Pavarde2250           Vardas2250          10           3           1           5           7           8           3           3           8           9           6           8           5           9           1           6
Pavarde2251           Vardas2251           7           5           2           1          10           7           3           7           8           7           3           7           2          10          10          10
Pavarde2252           Vardas2252          10           8           1           5           1           4           1           6           3           7           1           6           9           9           6           7
Pavarde2253           Vardas2253           7          10           1           1          10           3           3           2           2           7           7           8           4           5           6           4
Pavarde2254           Vardas2254           1           2           8           4           3           5           1           6           4           3           9           8           1           7           7           3
Pavarde2255           Vardas2255           8           6          10           7           6           7           6           1           2           1           8           2          10           7           1           2
Pavarde2256           Vardas2256           6           8           2           3           6           3           3           6           1           8           1           5           4           6           3           2
Pavarde2257           Vardas2257           1           9           7           7           2           3           8           8           6           5           4           3           3           8           3          10
Pavarde2258           Vardas2258           5           2           1           4           8           1           1           2           7           9           3           6           7           9           3           3
Pavarde2259           Vardas2259           3           5           3           8           5           3           8          10           5           4           9           4           7          10           9           6
Pavarde2260           Vardas2260           7           8           6           4           1           9           9           9           2          10           5           3           1           8           9           1
Pavarde2261           Vardas2261           6           5           9          10           5           3           5           6           1           9           2           1          10           3           9           4
Pavarde2262           Vardas2262           7           3           8           7           7           7           6           9           2          10          10           3          10           6           5           3
Pavarde2263           Vardas2263           3           5           7          10           7           9           3           4           7           3           3           2           4           8           4           4
Pavarde2264           Vardas2264           6           6           4           7           7           4           6           5           2           6           2           1           4           7           8           1
Pavarde2265           Vardas2265           5           7          10           9           2           7           3           6           2           2           7           6          10           8           9           1
Pavarde2266           Vardas2266           1           7          10           9           2           2           6           7           3           9          10           2           3           1           3           3
Pavarde2267           Vardas2267           7           2          10          10           7           4           9           9           2           4           5           6           3          10          10           4
Pavarde2268           Vardas2268           2           8           1           4           9           9           5           8           9           6          10           6           3           2           8           2
Pavarde2269           Vardas2269          10           6           1           3           2           3           7           2           9           1           5           4           4           3           3           3
Pavarde2270           Vardas2270           7           1           9           1           6           6           5           3           5           4           9           8           8           7           2           2
Pavarde2271           Vardas2271           5           7           1           4           5           5           7           2           1           2           4           3           5           7          10          10
Pavarde2272           Vardas2272          10           2           1           3           1           3           3           7           6           3           8           1           4           5           5           1
Pavarde2273           Vardas2273           5           3          10          10           7           6           2           5           7           1           1           3           9           6           5           7
Pavarde2274           Vardas2274           3           6           4           1           6           6           6           1           5           2           1           2           7           1           2           7
Pavarde2275           Vardas2275           7           6           4           7           6           5           4           5           1           2           9           1           8           1           8           6
Pavarde2276           Vardas2276           7          10           1           6          10           9           9          10           5           4           4           5           9           9           5          10
Pavarde2277           Vardas2277           7           9           7           2           4           4           5           5           7           3           1           6           7           2           5           8
Pavarde2278           Vardas2278           3           9           3          10          10           9           5          10           5           2           1          10           2           5          10           2
Pavarde2279           Vardas2279           4          10           1           4           1           7           2           9           2           8           8           2           8           4           4           7
Pavarde2280           Vardas2280           3          10           9          10           9           4           7           1           2           4           9           9           5           4           3          10
Pavarde2281           Vardas2281           1           6           2           8           6           1           8           6           6           4           4           2           4           4           5           5
Pavarde2282           Vardas2282          10           4           4           5           6           9          10           4           8           2           7           4           6           5           6           7
Pavarde2283           Vardas2283           2           9           8           7           5           4           9          10           8           3           8           5           5           9           3           1
Pavarde2284           Vardas2284           4           4           6           3           9          10           2           7           8           4           4           1           3           1           5           3
Pavarde2285           Vardas2285           1           2           1           6           9           4           7          10           2           8           3           6           2           8           3           5
Pavarde2286           Vardas2286           1           7           5           5           2           8           2           7           6           9           9           5          10           8           1           2
Pavarde2287           Vardas2287           3           8           6          10           5          10           8           6           9           8           5           5           4           5           4           6
Pavarde2288           Vardas2288           3           7           8           6           3           1          10           9          10           1          10           8           4           2           5           6
Pavarde2289           Vardas2289           7           4           8           3          10           8           1           7          10           3           9           1           5          10           1           9
Pavarde2290           Vardas2290           5           5           4           9           8           2           3           3           2           5          10           9           7           6           6           7
Pavarde2291           Vardas2291           3           2           8           1           5          10           9          10           1           9           2           5           4           5           8           9
Pavarde2292           Vardas2292           8           9           1           1           9           2           6           5           8           8           5           3           7           4           3           5
Pavarde2293           Vardas2293           7           4           8           1           1           8           3           5           4           8           1           6           6           1           2           8
Pavarde2294           Vardas2294           3           3           5           1           3           1           9           4          10           7           8           1           8           7           6          10
Pavarde2295           Vardas2295           7           3           5           8           2           4           2           9           8           8           4           6           7           9           6           7
Pavarde2296           Vardas2296           6           2           6           5           3           7           2           4           4           6           3           8           2           2           5           2
Pavarde2297           Vardas2297           4           9          10           6           9           1           4           1           1           9           4          10          10          10           2           4
Pavarde2298           Vardas2298           9           2           5           4           2           9           3           4           4           1          10           3          10           1          10           4
Pavarde2299           Vardas2299           4           1           9           8           3           7           3           4           3          10           6           3           6           4          10           9
Pavarde2300           Vardas2300           3           1           6           2           1           8           2           7          10           2           5           7           4           1           3           1
Pavarde2301           Vardas2301           4           2           5           4           6           2           3           3          10           6           5           9           3           7           8           4
Pavarde2302           Vardas2302           2           4           5           5           7           9           7           9           5           2          10           2           8          10           2           8
Pavarde2303           Vardas2303           9           8           9           4           3          10           8           3           9           8           7          10           9           9           9           9
Pavarde2304           Vardas2304           4           2           2           8           2           1           4           8           5          10           4           4           3           3           2           1
Pavarde2305           Vardas2305           7           8           2          10           5           6           3           7          10           7           3           9           7          10           1           5
Pavarde2306           Vardas2306           9          10           9           9           6          10           3           5           5           4           7           6           6           8           9           3
Pavarde2307           Vardas2307           4           4           2           4           5           8           9           4           4           9           9           5           3           6           2           4
Pavarde2308           Vardas2308           1           7          10           8           4          10           2           7           6           4           8           9           9          10           5           8
Pavarde2309           Vardas2309           7           9           3           9           7           4           2          10           8           9          10          10           5           3          10          10
Pavarde2310           Vardas2310           9           8          10           5           7          10           1           7           6           3           1           2           1           4           5           7
Pavarde2311           Vardas2311           3           7           7          10           4           7           9           2           4           8           6           2           2           8          10           1
Pavarde2312           Vardas2312           7           2           9           6           2           1           5           3           3           9           8           9           4           7           9           8
Pavarde2313           Vardas2313           5           9           3           5           9           7           2           3           7           2           3          10           3           7           4           6
Pavarde2314           Vardas2314           6          10           4           1          10           4           5          10           4           6           9           9           2           3           9           9
Pavarde2315           Vardas2315           4           3           4           4           8           5           8           6           6          10           1           7           7           9           8          10
Pavarde2316           Vardas2316           8           7           9           5           9           4           8          10           7           2          10          10           5           9           4           5
Pavarde2317           Vardas2317           2           8           9           2           4          10           1           6           5           9          10          10           5          10           4           3
Pavarde2318           Vardas2318           5          10           7           3          10           7           4           9           9           9           5           6           4           5          10           4
Pavarde2319           Vardas2319           6          10           6           5           3           4           5           2           4           6          10           1           7           7           7           3
Pavarde2320           Vardas2320           3           5           5           6          10           6           8           6           7           8           7           7           5           6          10           4
Pavarde2321           Vardas2321           5           4           6           8           5           4           7          10           4          10           9          10           5           1          10           2
Pavarde2322           Vardas2322           5           7           6           2           4           4           2           4           9           7           2           4          10          10           4           6
Pavarde2323           Vardas2323           5           2           8           7           3           4           3           9          10           8           9          10           9           8          10           9
Pavarde2324           Vardas2324           9           9          10           1           8           2           9           8           7           2           2           6           9           2           7           5
Pavarde2325           Vardas2325           6           6           1           9           1           1           3           3           2          10           9           9           9           2          10           7
Pavarde2326           Vardas2326           9           4           5           3           6           5           5           6           6          10           7           3          10          10           4          10
Pavarde2327           Vardas2327           9           2           7           2           9           7           2           8           2           5           7           6           2           8           1          10
Pavarde2328           Vardas2328           7          10           6           4           7           6           5          10           8           2           4           3           4          10           1           2
Pavarde2329           Vardas2329           8           2           8           8           4           7           6           8           9           1           6           6           9           7           2           4
Pavarde2330           Vardas2330           3           9           7           3           6           4           7           9          10           9           5           9           4           7          10           8
Pavarde2331           Vardas2331           6          10           7           4           6           9           1           1           1           4           6           8           3           5           7           1
Pavarde2332           Vardas2332           3           1          10           9           8           6           6           2           5           2           1           3           8           6           8           7
Pavarde2333           Vardas2333           6           6           2           2           8           9           3           3           8           3           9          10           8           2          10          10
Pavarde2334           Vardas2334           2          10           5           3           9           3           9           2           3           5           9           3           5           3           6           5
Pavarde2335           Vardas2335           1           4           5           6           8           5           1           3           9           3           3           1           5           1           4           3
Pavarde2336           Vardas2336           6           6           8           7           1           2           7           8           6           2           2           2          10          10           9           2
Pavarde2337           Vardas2337           4           3           4           7           9           6           5           9           5           1           7          10           4           2           9           8
Pavarde2338           Vardas2338           1           7           9           1           5          10           3           9           1           2           2           3           1           3           6           2
Pavarde2339           Vardas2339           6           6          10           6           7           9           5           1           5           5           5           6           2           5           6           8
Pavarde2340           Vardas2340           8           8           3           6           1           5           8           8          10           6           1           5           8           2          10           9
Pavarde2341           Vardas2341           1           5           5           5           1           7          10           9           3          10           8           6           4           2          10          10
Pavarde2342           Vardas2342           9           2           9           1           6           4           1           4           6          10           6           3           3           5           9           7
Pavarde2343           Vardas2343           6          10           5           6           4           2           3           9           9           4           1           3          10           3           3           4
Pavarde2344           Vardas2344           8           8           6           6           5           1           3           3           4           6           5           8           7           8          10           9
Pavarde2345           Vardas2345           4           8           8           4           1           6           6           1           9           2           1           5           9           5           8           6
Pavarde2346           Vardas2346           6          10           6           2           4           8           4           3           5           5           7          10           4           8           4           2
Pavarde2347           Vardas2347          10           3          10           2           9           3           1           1           7           9           9           9           4           3           6          10
Pavarde2348           Vardas2348           4           3           2           9           6           2           9           8           2           7           1           9           9           1           4           1
Pavarde2349           Vardas2349           8           1           7           8           9           3           7           2           8           8           2           2           6           3           7           6
Pavarde2350           Vardas2350           8           8           2           7           9           6           6           8           7          10           8           3           8           2           8           5
Pavarde2351           Vardas2351          10           4           4           8          10           4           9           2           4           8           5           1           6           7           4           9
Pavarde2352           Vardas2352           5           3           7           5          10           7           1           6           1          10           8           4           2           1           7           2
Pavarde2353           Vardas2353           4           1          10           1           7           6           5           8           2           3           1           8           3           4           1           5
Pavarde2354           Vardas2354           3           9           1           3           1           2           7           2           4          10           4           5           3           9           3           7
Pavarde2355           Vardas2355           2           8           6           8           4           7           9           6           4           9           4           8           2           4           7           4
Pavarde2356           Vardas2356           2           9           7           9           3           3           1           3           1          10           3           3           9           8           8           2
Pavarde2357           Vardas2357           1           3           3          10          10           8           1           6           9          10           5           2           7           9           6          10
Pavarde2358           Vardas2358           5           1           4           9           1           9           6           7           6          10           8          10           9           1           7           5
Pavarde2359           Vardas2359           2           2           6           1           6           8           9           5          10           3           4           6          10           5          10           7
Pavarde2360           Vardas2360           4           7           4           9          10           2           2           8           3           6           2           8           6           8           3           9
Pavarde2361           Vardas2361           2          10           5           6          10           2           9           3           3          10           1           6           2          10           7           8
Pavarde2362           Vardas2362           4           7           8           4           4           6          10           2          10           6           7           4           3           4           2           3
Pavarde2363           Vardas2363           4           4           9           4          10           7           4           7          10           2           8           8          10           9           2           5
Pavarde2364           Vardas2364           1           3           6          10           6           3           5          10           1           2           3          10           8           3           1           6
Pavarde2365           Vardas2365           4           1           7           4           1           1           9           5           9           4           6           6           3           3           9          10
Pavarde2366           Vardas2366           6           3           7           3           6           7           1           1           9           6          10           1           3           9           2           9
Pavarde2367           Vardas2367           9          10           7           3           7           5           4           7           4           3           4          10           1           8           8           6
Pavarde2368           Vardas2368           9           3           3           9           6           9           9           5           2           7           1           6           9           4           4           1
Pavarde2369           Vardas2369           1           7           2           5           8           4           6          10          10           7           6           3          10           6           2           8
Pavarde2370           Vardas2370           5           5           6           9           2           5           3           6           5           6           9           3           6           7           3           6
Pavarde2371           Vardas2371           3           8           4           2           8           5           1           2           1           4           1           6           2           8           3           6
Pavarde2372           Vardas2372           8           6           8           1           1           6           4           9           6           5           6           9           9           6           6           1
Pavarde2373           Vardas2373           6           2           3           1           1           3           6           3          10           9           2           8           7           8           4           5
Pavarde2374           Vardas2374           5           7           7           2           1           5           3           4           6           6           7           2           8           5           1           8
Pavarde2375           Vardas2375           7           3           3           9           8           9           7           5           4          10           3           6           3           2          10           7
Pavarde2376           Vardas2376           4           6           1           1           9           3           7           1           7           2           8           5           7           2           6           1
Pavarde2377           Vardas2377           3          10           8           3           5           7           4           2           5           2           1           2          10           5           4           4
Pavarde2378           Vardas2378          10           2           2           9           8           8           3           8           8          10           4           2           7           3           7           5
Pavarde2379           Vardas2379           2           5           2           2           5          10          10           7           9           1           8           6           2           4           6           5
Pavarde2380           Vardas2380           3          10           1           3           9           7           6           5           5           9           2           6           7           1           3           8
Pavarde2381           Vardas2381           3           7          10           2           2          10           3           8           3           6           4           9           2           1           2           5
Pavarde2382           Vardas2382           3           2           2           7           9           1           9           3           5           4           6           5           9           7           5           5
Pavarde2383           Vardas2383           7           4           3           2           2           4           1           7           9           5           4          10           8           2           4           3
Pavarde2384           Vardas2384           2           6           9           4           5           1           9           4           4           1           9           3           9           5           6           7
Pavarde2385           Vardas2385          10          10          10           6          10          10          10           4          10           8           2           3           7           5           4           1
Pavarde2386           Vardas2386           2           5           1           6           7           1           2           3           2           4           4           4          10           3           3           6
