Pavarde                   Vardas         ND1         ND2         ND3         ND4         ND5         ND6         ND7         ND8         ND9        ND10        ND11        ND12        ND13        ND14        ND15        Egz.
Pavarde225             Vardas225           7           2           4          10           9           1           8           9           9           6           4           3           2          10           7           2
Pavarde226             Vardas226           9           5           7           8           8           9           2           9           2           7          10           2           4           3           7           3
Pavarde227             Vardas227           5           8          10           5           3           6           8           3           6           4           5           4           4           6           3           6
Pavarde228             Vardas228           9           6           4           3           6           3           1          10           6          10           5           5           4           4           8           2
Pavarde229             Vardas229           2           3           7           2          10           3           9           7           6           6           3           8           5           2           7           4
Pavarde230             Vardas230           4           1           9           5           4           3           4           6           6           7          10           4           7           8          10           4
Pavarde231             Vardas231           5          10          10           5           7           2           8           7           2           3           4           9           8           5           9           9
Pavarde232             Vardas232          10           9           5           7           7           6           5          10           5           2           4           4           3           2          10           7
Pavarde233             Vardas233           8           5           5           2           1           4           8           3           3           8           1           1           2           8           4           4
Pavarde234             Vardas234           7           7           4           4           5           7          10           4           3           1          10          10           7          10           7           5
Pavarde235             Vardas235           8           8           1           4           2          10          10           4          10           1           2           7           7           5           8           2
Pavarde236             Vardas236           5          10           4           9          10           1           4           6           2           2           8           7           5           8           2          10
Pavarde237             Vardas237           3           2           5           3           5           2           7           7           5           6           2           8           7           7           7           5
Pavarde238             Vardas238          10           7          10           1           4           4           5           6           2           4           1           5           8           2           8           3
Pavarde239             Vardas239           1           1           7           6           2           3           8           1           8           2           2          10           7           1           6           3
Pavarde240             Vardas240           7           8           7           5          10           3           2           8          10          10           2           5           3           4          10           2
Pavarde241             Vardas241           2           1           9           3           4          10           9           4          10           9           6          10           3           4           9          10
Pavarde242             Vardas242          10           4           4           6           6           9           2           8           8           9           8           6           5          10           6           7
Pavarde243             Vardas243           5           6           8           9           2           7           1           9           1           4          10           7           2           5           3           8
Pavarde244             Vardas244           5           5           5           6           4           9           7          10           4           8           5           1           3           6           1           2
Pavarde245             Vardas245           8           8           3           4           4           6           4          10           7           8           6           3           6           2           2           2
Pavarde246             Vardas246           6           5           1           3           9           8          10           7           3           6           7           8           1           8           6          10
Pavarde247             Vardas247           5           7           5           8           4           3           6           2           9           2           2           9           2          10           1           3
Pavarde248             Vardas248           1           2           4           8           5           2           7           3           9           1           6           2           2          10           4           1
Pavarde249             Vardas249           2           7           1           1           1           5           9           7           4           4           3           3           3           5           4           4
Pavarde250             Vardas250           7           4          10           5           7           7           7           2           1           5           8           8           2           7           5           2
Pavarde251             Vardas251           8           2           5           4           9          10           4           7           6          10           1           8           3           9           5           8
Pavarde252             Vardas252           3           7          10           1           2           9           7           2           6           1          10           6           4           4           4           9
Pavarde253             Vardas253           9           8           2           5           2           1           5           5           5           9           5           2           9           7           8           4
Pavarde254             Vardas254           4           4           1           4           8           4           8           2           4           7           4           6           1           9           8           7
Pavarde255             Vardas255           4           8           2           2           9           3           9           8           6           2           9           7           2           3           3           8
Pavarde256             Vardas256          10           7           4           3           8           4           4           2           1           4          10           9           1           9          10           3
Pavarde257             Vardas257           3           5          10          10           4           6           8           4           1          10          10           9          10           8          10           8
Pavarde258             Vardas258           5           7           3           8           5           9           4           2          10          10           5          10           9           8           6           9
Pavarde259             Vardas259           4           8           8           3           6           8           4           8           5           3           1           5           4           9           9           4
Pavarde260             Vardas260          10           7           2           7           3           1           5           6           2           6           1           2           4           3           1           6
Pavarde261             Vardas261           7           8           1           2           8          10           8           2           2           7           2           8           5           2           8           6
Pavarde262             Vardas262           1           5           1           6           3           6          10           9          10           9           7           2           6           3           9           9
Pavarde263             Vardas263           9           5           8           7           2           8          10           5           8           3           5          10           6           9           2           8
Pavarde264             Vardas264           7           6           8           5          10           4           3           2           4           4           3           3          10           4           7           2
Pavarde265             Vardas265           2           8           3           3           5           8          10          10           4           7           1           5           8           9           9           9
Pavarde266             Vardas266           3           1           2           9           1           5           3           6           5           6           5           4           8          10           8           7
Pavarde267             Vardas267           5           9          10           9          10           5          10          10           3           4           9          10           9           6           5           8
Pavarde268             Vardas268           3           2           2           7           9           4           6           7           3           7           2          10           3           7           2           3
Pavarde269             Vardas269           1           4           9           6           7          10           7           3           9           8          10           9           7           3           2           5
Pavarde270             Vardas270           2           6           7           6           3           9           1           2           7           9           6           5           7           4           2           3
Pavarde271             Vardas271           7           6           8           7           1           2           4           3           1           6           7           6           4           6           5          10
Pavarde272             Vardas272          10           5           8           5           9           1           7           6           9           1           9           6           5           6           1           7
Pavarde273             Vardas273           6           9           5           2           1           2           2           5          10           9           8           9           5           8           7           9
Pavarde274             Vardas274           7           1           2           2           8           5          10           4          10          10           4           2           9           8           3           6
Pavarde275             Vardas275           4          10           7           1           4           5           3           8           5           9           9           4           9           8           1           8
Pavarde276             Vardas276           2           4           7          10           4           3           2           5           1           2           6           5           9           5           7           5
Pavarde277             Vardas277           5           1           5           1           7           4           9           2           4           9           5           2           2           6           3           8
Pavarde278             Vardas278           5           9           9           7           5           4           4           7           7           9          10           5           6           2           9           2
Pavarde279             Vardas279           3           6          10           4           5           1          10           4           8           9           5           5          10           5           4           3
Pavarde280             Vardas280          10           4           8           8           5           7           8          10           8           1           1           8           9           9           1           5
Pavarde281             Vardas281           8           4           6           1           6           5           7           3           2           9           7           3           3           9           5           2
Pavarde282             Vardas282          10           6           1          10           4           7           2           7           7           4           4           6          10           9           5           8
Pavarde283             Vardas283           2           6          10           9           7           8           3           6           6          10           5           1           1           9           9           2
Pavarde284             Vardas284           2           8           6           5           6           4           8           3           4           9           5           3           5           2           2           7
Pavarde285             Vardas285           3          10           9           6          10          10           4           3           7          10           2           7           4          10           4           9
Pavarde286             Vardas286           8           5           1           1           9           8           8           6           8           8           9           8           5           2           2           4
Pavarde287             Vardas287           9           2           5          10           6           6           3           3           2           5          10          10           5           8           9           7
Pavarde288             Vardas288           5           7           8          10           8           9           7           1           4           1           3           1           6           1           9           5
Pavarde289             Vardas289          10          10           4           4           5          10           6           4          10           7           6           3           8           8           1           1
Pavarde290             Vardas290           5           5           7           5           5           1          10           1           3           4          10           2           2           4           6           5
Pavarde291             Vardas291           1           5           6           9           9           4           2           3          10           5           6           5           3           1           2           1
Pavarde292             Vardas292           6           7           8          10           2           9          10           7           4           4           6          10           6           3           4           9
Pavarde293             Vardas293           5           9           1           4          10           3           8          10           1           3           3           8           6          10           1           4
Pavarde294             Vardas294           6           8           5           8          10           1           3           6           4           2           6          10           6           4           9           9
Pavarde295             Vardas295           1           9           9           2           1          10           7           8           6           8           5          10           6           3           1           4
Pavarde296             Vardas296           8           1           6           2           7           7           6           2           4           1           3           9           4           5           1           4
Pavarde297             Vardas297           5           2           5           2           6           1           1           2           4           7          10           8           7           3           8           1
Pavarde298             Vardas298           3           8           5           2           8           4           4           8           9           6           4           7           1          10           1           9
Pavarde299             Vardas299           3           7           2           1           6           3           7          10           6           6           2           3           2           3           3           7
Pavarde300             Vardas300           9           1           1           8           7           6           6           1          10           3           4           8           6           7           1           9
Pavarde301             Vardas301           9          10           4           9           3           2           2           4           5           3           3           8           2           8           4           5
Pavarde302             Vardas302           3           6          10           4           7          10           4           9           3           5          10           6           3          10           4           4
Pavarde303             Vardas303           8           2           8           4           9           4          10           5           3           9           9           9           7           4           7           3
Pavarde304             Vardas304           1           6           3           5           7           5           3           5           8           5           7           2           6           1           7          10
Pavarde305             Vardas305           8           3           6          10           4          10           3           2           4          10           7           7           9           9          10          10
Pavarde306             Vardas306           5           5           9          10           1           9           8           6           4           9           2          10           4           6           9           3
Pavarde307             Vardas307          10           9          10           5           6           7           1           9           7           5           1          10           2           8           7           9
Pavarde308             Vardas308           6          10           5           2           3           7           8           4           8           3           2           7           7           2           8           7
Pavarde309             Vardas309           5           3           6           2           8           1           7           1           7           3           6           8           6           9           2           5
Pavarde310             Vardas310           6           8           3           8           6           1           8           2           3           6           9           8           9           4           3           6
Pavarde311             Vardas311           1           5           1           7          10           2           5           7           6           6          10           7           4           1          10           6
Pavarde312             Vardas312           6           7           1           4           2           9           7          10          10           5           7          10          10          10           3           5
Pavarde313             Vardas313           3           6          10           5           3           2           1           6           2           1           1           2           9           6           6          10
Pavarde314             Vardas314           5           1           7           7           2           2           1          10           2           1           3           9           2           2           5           2
Pavarde315             Vardas315           5           2           9           5           5          10           6           3           4           9           3          10           8           7           8           3
Pavarde316             Vardas316           7          10           2           7           5           3           5           5           1          10           1           9           9           3           8           9
Pavarde317             Vardas317           9           5           2           4           5           1           4           4           1           1           5           2           8           5           9          10
Pavarde318             Vardas318           1           4           1           1           6           4           3           6           2           8           4           6           9          10           5           2
Pavarde319             Vardas319           3           7          10           3           9           6           6           5           3           7           1           5           8           8           2           9
Pavarde320             Vardas320          10           6           1           7           4           8           1           2           1           7           9           8           4           7           6           2
Pavarde321             Vardas321           5           5          10           1           4           7           4           3           9           3           8           2           2           9           9           4
Pavarde322             Vardas322           3           7           5           4           8           3           6          10           2           1           3           3           4           5           1          10
Pavarde323             Vardas323          10           7           7           6           5           6           5           1           2           9          10           3           8           3           6           1
Pavarde324             Vardas324           1           7           6           7           5           6           8           6           6          10           9           2          10           8           2           5
Pavarde325             Vardas325           9           9           9           9           3           1           5           3          10           6           4           1           1           1           5           1
Pavarde326             Vardas326           8           6           4           7           2           6           6           4           1           4           9           2           9          10           3          10
Pavarde327             Vardas327           5           3           9           6           1           3           5           2          10          10           1           2           7           6           1           9
Pavarde328             Vardas328          10           4          10           7           8           9           7           8           2           5           3           6           8           9           3           9
Pavarde329             Vardas329           9           7           7          10           5           1           3           8           4           5           7           9           2           3          10           7
Pavarde330             Vardas330           3           4           8           5           4           4           2           9           9           1           7           8           2           5           7           1
Pavarde331             Vardas331           7           2           5           6           4           6           4           6           8           9           1           9           7           7           9           9
Pavarde332             Vardas332           4           5          10           8           8           7           8           7           1           1           6           2           9           3           2           6
Pavarde333             Vardas333           3           6           9           1           3           6           5           8           8           4           6           2           5           3           5           4
Pavarde334             Vardas334           6           2           7           5           9           5           3           8           9           8           7           3           3           8           8           4
Pavarde335             Vardas335           5           2           4          10           2           3           5           1           7           4           1           2           8           2           7           6
Pavarde336             Vardas336           2           9           7           6           4          10           4           5          10           8           9           7           5           2           9           2
Pavarde337             Vardas337           4          10           8           3           4           3          10           6           7           5           3           3           8          10           8           2
Pavarde338             Vardas338           1           7           8           8           2           2           2           4           5           4           5           2           3           6           6           2
Pavarde339             Vardas339           1           3           1           6           7           4           8           1           9           6          10          10           4          10           6           9
Pavarde340             Vardas340           6           4           2           9           6           1           4          10           6           4           3           8           7           2           2           1
Pavarde341             Vardas341           3          10           3           3           6           9          10           1           7           5           6           8           1           8           3           7
Pavarde342             Vardas342           7           4           3          10           3           4           5           9           2           7           7           8           8           5          10           2
Pavarde343             Vardas343           7           2           4           4           2           3           3           1           5           3           2           9           6           3           6           6
Pavarde344             Vardas344          10           3           3           9           5           2           9           9           8           5           4           3          10           2           8           1
Pavarde345             Vardas345           3          10           7           8          10           8           8           5          10           8           4           6           1           3          10           1
Pavarde346             Vardas346           9           9          10           5           7           1           6           2           7           5           1           2           6           3          10           8
Pavarde347             Vardas347           6           5           2           6           2           4           1          10           9           8           8           4          10           2           5           7
Pavarde348             Vardas348           1           5           8           2           5           8           6           7           7          10           5           4          10           9           5           8
Pavarde349             Vardas349           6           1           7           2           5           8           8           3           7           7           8          10           6           4           6           4
Pavarde350             Vardas350           6           1           8           7           8           2           7           1           9           8           5           7           7           2           9           4
Pavarde351             Vardas351          10           3           8           7           4           9           3           9           2           2           6           3           9           4           5          10
Pavarde352             Vardas352           5           5           9           2           3           8           3           4           7           9           2           7           2           4           4           8
Pavarde353             Vardas353           2           3           5           9           3           3           2           7          10           8          10           4           5           3           6           4
Pavarde354             Vardas354           7           8           8           3           9           8           4           3           4           2           5           4           8           4           3          10
Pavarde355             Vardas355           6           4           3           6           3           8           5           5           9           4          10           2          10           6           2           1
Pavarde356             Vardas356           5           8           4           9           6           8           3           6           2           4           6           4           5          10           8           5
Pavarde357             Vardas357           7           2           4           8           9           8           5           4           3           1           4           4           4           6           6           9
Pavarde358             Vardas358           5           6           2           4           2           8           5          10           5           5           8          10           8           4           5           1
Pavarde359             Vardas359           8           6           7           9           9          10           5           9           2           9           9           5           4           6           6           8
Pavarde360             Vardas360          10           7           5          10           1           2           3           9          10           1           5           8           4           3           3          10
Pavarde361             Vardas361           3           4           9          10          10          10           1           2           6           6           4           8           9           2           3           8
Pavarde362             Vardas362           7          10           4          10           3           3           7           4           4           8          10           4           7           2           6           1
Pavarde363             Vardas363           8           5           7           6           3           1           9           2          10           8           3           7           6           3           6           9
Pavarde364             Vardas364           6           6           3           4           2           5           2           9           3           3           1           3           9           1           2           8
Pavarde365             Vardas365           4           7           2           1           7           8           4           9           3           8           7           1           9          10           8           1
Pavarde366             Vardas366           2           8           5           6           8           4           6          10           9           5          10           5           2           9           1           2
Pavarde367             Vardas367           2           2           4           4           2           5           4          10           4           4           5          10           8          10          10           2
Pavarde368             Vardas368          10           2           9           1           8           2           3           7           8           8           7           2           5          10           2           8
Pavarde369             Vardas369          10           6           2           6           4           4          10           3           3           9           2           8           5           1           7           1
Pavarde370             Vardas370           2           7           8           9           7           7           6           8           5           5           5          10           1           4           3           5
Pavarde371             Vardas371           6           1           1           2           6           1           1           8           8           2           5           5           6           7           1           1
Pavarde372             Vardas372          10          10           4           4           6          10           2           7           1          10           5           3           9           9           2           3
Pavarde373             Vardas373           1           7           9          10           3           9           5           7           3           9           7           9           9           6           4           4
Pavarde374             Vardas374           6           8           5           9           8           3           2           7           2          10           2           5          10           7           8           1
Pavarde375             Vardas375           8           6           1           7           7           6          10           9           6           4           4           7           1           8          10           8
Pavarde376             Vardas376           3           2           4           8           3          10           5           2           6           1           5           9           2           1           1           4
Pavarde377             Vardas377           8           6           8           6           8           6           5           5           1           2           4           6           1           4           5           2
Pavarde378             Vardas378           9           9           1           2           2           8           9           9           1           3           8          10           7           8           3           7
Pavarde379             Vardas379           7           7           5           8          10           7           4          10           6           5           1           3           7          10           8           2
Pavarde380             Vardas380           3           3           1           2           3           1          10           8           2           6           9           1           3           6           2           2
Pavarde381             Vardas381           5           9           5           7           5           3           4           5           8           6           9           6           5           1           1           2
Pavarde382             Vardas382           3           5           1           2           8           9          10           9           9           7           5           6           7           9           4           2
Pavarde383             Vardas383           3          10           3           6           8          10           5           1          10           3           9           9           9           5           5           1
Pavarde384             Vardas384           9           8           3           8           1           2           2           5           9           6           7           5           4           2           7           6
Pavarde385             Vardas385           6           5           4           5           6           2           4           6           6           8           7           6           9           4          10           3
Pavarde386             Vardas386          10           4           9           6           4           6           5           8           2           4           1           8           5           8           7           3
Pavarde387             Vardas387           4           5           8           6           6           4           6          10          10          10           8           1           6           2          10           9
Pavarde388             Vardas388          10           4           7           2           7           2           7           8           7           9           4          10           2           2           5          10
Pavarde389             Vardas389           1           9           1           9           3           4           2           1           1           6           8           4           7          10           5           7
Pavarde390             Vardas390           2           5           6           9          10           5           9           6           3           9           8           4           1           8           5           7
Pavarde391             Vardas391           4           1           6           5           7          10           8           9           8           6           2           1           7           2           6           1
Pavarde392             Vardas392           2           5           9           5           4           2          10           8           8          10           2           3           7           7           6           9
Pavarde393             Vardas393           3           3           7           7           5           3           2           6           1           4           1           9           6          10           5           9
Pavarde394             Vardas394          10           3          10           1           6          10           3           4           6          10           4           7           7           7           1           6
Pavarde395             Vardas395           6           2          10           9           4           4          10           4           2           9           3          10           8           8           6           7
Pavarde396             Vardas396           8           6           5           3           9           5           2           9           8           8           2           2           2           1           9           3
Pavarde397             Vardas397           2           5           6           4           9           1          10           3           1           3           3           3           8          10           8           9
Pavarde398             Vardas398           1           9           3           9           4          10           7           9           8           8           5           9          10           8           5           1
Pavarde399             Vardas399           4           6           4          10           1           3           7           8           4          10           8           3           2          10           4          10
Pavarde400             Vardas400           3           2           4           6           7           7           7           9           7           5           3           6           8           9           1          10
Pavarde401             Vardas401           7           8           4           1           7           8           8           6           8           9           5           2           4           6           9           2
Pavarde402             Vardas402           9           5           4           9           3           4          10           3           9           6           3           7           4           5           1           2
Pavarde403             Vardas403           5           9           8           1           8           3           6           7           1           5           6           8           6           4           5           9
Pavarde404             Vardas404           4           5          10           2           3           2           5           8           7           5           8           9           7           9           1          10
Pavarde405             Vardas405           2           9           1           8           3           9           9           7           7           8           3           7           4           6           1           1
Pavarde406             Vardas406          10           2           1           6          10           3           3           6           3           5           5           8          10           7           1           7
Pavarde407             Vardas407           3           6           1           1           6           4           2           7           9           8           7           2           3           4           2           7
Pavarde408             Vardas408           1           6           7           7           6           9           4           7           5          10          10           6           7           4           2           7
Pavarde409             Vardas409           7           5           8           7           2           4           1           5           3           2           5           9           9          10           2           1
Pavarde410             Vardas410          10           4           4           5           9           5           3           8           2           6           6           4           6           6           3           6
Pavarde411             Vardas411          10           3           8           7           5           3           7           4           5           6           4           4           9           6           3           2
Pavarde412             Vardas412           2           6           9           8           4           9           2           5           1           6           4           9           4           2           2           7
Pavarde413             Vardas413           2           5          10           2           7           2           7           9           6           5           2           9           7           8           2           7
Pavarde414             Vardas414           2           4           6           1           6           9           7           1           7           8           5           4           4           7           8           5
Pavarde415             Vardas415           5           3           5           1           7           4           8           7           3           4          10           7           6           3           7           8
Pavarde416             Vardas416          10           9           6           7           8           6          10           2           8           6           8           2           2           2           9           2
Pavarde417             Vardas417           8           5          10           8           8           6           2           8           3          10           8           5           8           9          10          10
Pavarde418             Vardas418           2           1           4           1           6           2           6           6           9           9           7           8          10           6           4           4
Pavarde419             Vardas419          10           8           3          10           2           3           1           2           1           6           5          10           3           9           5           5
Pavarde420             Vardas420           9           5           9           4           8          10           2           3           8          10           2           9           9           7           2           4
Pavarde421             Vardas421           6           1           3           5           7           5           5           7           1           9          10           7           3           4          10           1
Pavarde422             Vardas422           9           8           7           5          10           6          10           9           6           1           1           7          10           7           2           6
Pavarde423             Vardas423           9           1           1           1           2           7           9           2           1           4           6           3           2           1           3           3
Pavarde424             Vardas424          10           6           7           6           5           3           7           1           3           5           6           2           6           1           5          10
